Industry,Impacted Industry,Ratio
Real Estate,Home Health Care Services,0.351680504
Real Estate,Department Stores,0.336683996
Real Estate,Services for the Elderly and Persons with Disabilities,0.330724309
Real Estate,Nonresidential Poured Concrete Foundation and Structure Contractors,0.294521175
Real Estate,Nonresidential Roofing Contractors,0.292595074
Real Estate,Child Day Care Services,0.285328159
Real Estate,Nonresidential Drywall and Insulation Contractors,0.278442633
Real Estate,Nonresidential Property Managers,0.275783391
Real Estate,General Warehousing and Storage,0.271630261
Real Estate,Investigation Services,0.269661568
Real Estate,General Automotive Repair,0.267129127
Real Estate,Other Accounting Services,0.26708202
Real Estate,Architectural Services,0.244603973
Real Estate,All Other Support Services,0.240540926
Real Estate,Wholesale Trade Agents and Brokers,0.232835613
Scenic and Sightseeing Transportation,Couriers and Express Delivery Services,14.45362332
Scenic and Sightseeing Transportation,Postal Service,7.747414417
Scenic and Sightseeing Transportation,General Warehousing and Storage,4.592394966
Scenic and Sightseeing Transportation,Limited-Service Restaurants,2.809291688
Scenic and Sightseeing Transportation,Freight Transportation Arrangement,2.679874536
Scenic and Sightseeing Transportation,General Medical and Surgical Hospitals,2.409635323
Scenic and Sightseeing Transportation,Temporary Help Services,2.285029442
Scenic and Sightseeing Transportation,Full-Service Restaurants,2.267031506
Scenic and Sightseeing Transportation,"Corporate, Subsidiary, and Regional Managing Offices",2.192992661
Scenic and Sightseeing Transportation,Janitorial Services,1.979665877
Scenic and Sightseeing Transportation,Other Airport Operations,1.818622672
Scenic and Sightseeing Transportation,Local Messengers and Local Delivery,1.551520986
Scenic and Sightseeing Transportation,Other Support Activities for Air Transportation,1.46666932
Snack and Nonalcoholic Beverage Bars,"Corporate, Subsidiary, and Regional Managing Offices",10.12462994
Snack and Nonalcoholic Beverage Bars,Temporary Help Services,6.419635347
Snack and Nonalcoholic Beverage Bars,Limited-Service Restaurants,4.220333149
Special Food Services,"Corporate, Subsidiary, and Regional Managing Offices",10.27295522
Special Food Services,Temporary Help Services,6.452387418
"Sporting Goods, Hobby, Musical Instrument, and Book Stores",General Warehousing and Storage,5.227727536
"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Limited-Service Restaurants,4.314726915
"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Temporary Help Services,4.079560957
"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Corporate, Subsidiary, and Regional Managing Offices",3.995899132
"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Full-Service Restaurants,3.722910621
"Sporting Goods, Hobby, Musical Instrument, and Book Stores",General Medical and Surgical Hospitals,3.037231783
"Sporting Goods, Hobby, Musical Instrument, and Book Stores",Couriers and Express Delivery Services,2.467240505
Transit and Ground Passenger Transportation,Limited-Service Restaurants,4.328158108
Transit and Ground Passenger Transportation,General Medical and Surgical Hospitals,3.644231476
Transit and Ground Passenger Transportation,Full-Service Restaurants,3.584411754
Traveler Accommodation,"Corporate, Subsidiary, and Regional Managing Offices",7.055879709
Traveler Accommodation,Limited-Service Restaurants,4.77142155
Traveler Accommodation,Full-Service Restaurants,3.746106265
Traveler Accommodation,Janitorial Services,3.252494517
Traveler Accommodation,Temporary Help Services,2.926693302
Traveler Accommodation,General Medical and Surgical Hospitals,2.847724167
Traveler Accommodation,Postal Service,2.645519644
Traveler Accommodation,Snack and Nonalcoholic Beverage Bars,2.290450333
